nCPU,bufferSize,negDays
4.0,100000.0,-0.02123937850749051
4.0,250000.0,-0.0214562973573252
4.0,400000.0,-0.021164780460574007
14.0,100000.0,-0.018406737866225067
14.0,250000.0,-0.018374228513351194
14.0,400000.0,-0.01848808201374831
24.0,100000.0,-0.01883815523650911
24.0,250000.0,-0.018489965343916857
24.0,400000.0,-0.0183446049000378
