ncpus,bufferSize,timeMinutes
18.40648986884316,2.251066014107722,27.023051953315733
10.046651452636794,1.0003431244520347,27.912265189488725
18.986798865144756,3.999970853371403,26.01068384250005
6.494381493166317,1.6064499143978468,28.505054962635043
17.350001378957273,3.5849344079395253,27.85608174006144
21.665055381518147,2.6767445470057543,26.260885671774545
22.751731445538333,1.2854890758205875,23.657110822200774
20.016346896057893,1.9379472200627668,25.99206659793854
4.724183459924266,3.808592137611649,29.768899587790173
22.71320453528003,2.9014392264323448,26.852099339167275
4.17072824119264,2.4568265147660604,30.4708043773969
23.97919229712282,3.3670364413973344,26.041693929831187
4.203616350631393,1.1307544156699347,32.25924746990204
22.175442797943134,1.7744634152103385,26.344417015711464
